【A級】
〔應在Big5碼中已有，並且很常用。若無，立即補完。〕 
975D	靝
975F	靟
979F	鞟
97B4	鞴
97BA	鞺
97C8	韈
981F	頟
982E	頮
9847	顇
984B	顋
9856	顖
9866	顦
98B4	颴
98DC	飜
98E6	飦
9939	餹
993B	餻
9942	饂
994A	饊
99C4	駄
99DA	駚
9A0C	騌
9A10	騐
9ABD	骽
9AD7	髗
9AE2	髢
9AF4	髴
9AFF	髿
9B02	鬂
9B09	鬉
9B2A	鬪
9B8A	鮊
9B8C	鮌
9B8D	鮍
9B8F	鮏
9B98	鮘
9B9D	鮝
9BCF	鯏
9BDD	鯝
9C0A	鰊
9C03	鰃
9C0C	鰌
9C10	鰐
9C1F	鰟
9C27	鰧
9C42	鱂
9C45	鱅
9C4F	鱏
9C53	鱓
9C64	鱤
9C65	鱥
9D02	鴂
9D13	鴓
9D44	鵄
9DA5	鶥
9DAB	鶫
9DC0	鷀
9E1C	鸜
9E81	麁
9E84	麄
9E90	麐
9E95	麕
9E96	麖
9E98	麘
9E9E	麞
9EA8	麨
9F02	鼂
9F17	鼗
9F27	鼧
9F45	齅
9F53	齓
9F5A	齚
9F69	齩
9F8E	龎
9FA5	龥
2070E	𠜎
20731	𠜱
20C53	𠱓
20CD4	𠳔
20CD5	𠳕
20D15	𠴕
20D7F	𠵿
20E0E	𠸎
20E0F	𠸏
20E77	𠹷
20ED7	𠻗
20EFA	𠻺
20F3B	𠼻
20FB4	𠾴
20FBC	𠾼
20F7E	𠽾
20F90	𠾐
2106F	𡁯
21075	𡁵
21076	𡁶
210C9	𡃉
210AB	𡂫
211D9	𡇙
2176D	𡝭
21CDE	𡳞
21DD1	𡷑
21F0F	𡼏
221A1	𢆡
2251B	𢔛
22775	𢝵
227B5	𢞵
22AD5	𢫕
22D08	𢴈
22EB3	𢺳
2373F	𣜿
240D2	𤃒
24364	𤍤
24D80	𤶀
25055	𥁕
2546E	𥑮
257C7	𥟇
2690E	𦤎
26E05	𦸅
27371	𧍱
27486	𧒆
279A0	𧦠
27B2A	𧬪
27FF9	𧿹
282CD	𨋍
2837D	𨍽
2838A	𨎊
289C0	𨧀
28A0F	𨨏
28B46	𨭆
28B4E	𨭎
28E39	𨸹
29DD3	𩷓
29EAC	𩺬
29F30	𩼰
29F48	𩽈
29F70	𩽰
2A0BA	𪂺
2A1E1	𪇡
2A64A	𪙊
2B4A2	𫒢
2BB37	𫬷
2D25D	𭉝
301DB	𰇛

【ㄅ級】
〔常用臺灣閩客漢字。〕
3401	㐁
3451	㑑
34FE	㓾
3737	㜷
39D2	㧒
39E1	㧡
3A6E	㩮
4034	䀴
4039	䀹
4045	䁅
4180	䆀
4308	䌈
45C1	䗁
463C	䘼
4AB4	䪴
4ACC	䫌
4BCB	䯋
4F28	伨
50EB	僫
5223	刣
527E	剾
52E5	勥
57EA	埪
5AA0	媠
63EC	揬
63FB	揻
6419	搙
641D	搝
6511	攑
6759	杙
713F	焿
714F	煏
7D5A	絚
80FF	胿
818E	膎
8EBC	躼
8EC1	軁
8FCC	迌
9B69	魩
9EE2	黢
2028E	𠊎
20546	𠕆
20547	𠕇
20895	𠢕
217D3	𡟓
2180D	𡠍
224DC	𢓜
22AB1	𢪱
22C4B	𢱋
23074	𣁴
23350	𣍐
241AC	𤆬
25349	𥍉
25C14	𥰔
25D0A	𥴊
27285	𧊅
277F0	𧟰
280F0	𨃰
28468	𨑨
28595	𨖕
2945D	𩑝
296A8	𩚨
2A736	𪜶
2B77A	𫝺

【ㄆ級】
〔次常用臺灣閩客漢字。視乎情況補完。〕 
3441	㑁
3502	㔂
3578	㕸
3585	㖅
35B8	㖸
35D8	㗘
35F1	㗱
3614	㘔
361B	㘛
361D	㘝
372E	㜮
3757	㝗
3769	㝩
3909	㤉
3915	㤕
39C1	㧁
39CC	㧌
39CE	㧎
39E3	㧣
39FB	㧻
3A02	㨂
3A11	㨑
3A28	㨨
3A2A	㨪
3A3B	㨻
3A46	㩆
3A90	㪐
3C35	㰵
3D18	㴘
3D19	㴙
3DEE	㷮
3E10	㸐
3E30	㸰
3F13	㼓
3F4E	㽎
3F80	㾀
3F8A	㾊
3FF8	㿸
4010	䀐
402F	䀯
406F	䁯
40D7	䃗
41F6	䇶
4204	䈄
4242	䉂
4599	䖙
45B3	䖳
45C6	䗆
45D0	䗐
4625	䘥
479A	䞚
47D3	䟓
47D8	䟘
47E9	䟩
4821	䠡
488D	䢍
48A2	䢢
4C85	䲅
4EBC	亼
5008	倈
